Scientific Name,Common Name,Image
Pyrrharctia isabella,"Isabella Tiger Moth, Banded Woolybear",imageRender.aspx?filename=woolybear-wild%20lettuce.jpg
Calledapteryx dryopterata,Brown Scoopwing,imageRender.aspx?filename=brown%20scoopwing-nannyberry.jpg
Nymphalis antiopa,Mourning Cloak,imageRender.aspx?filename=Morning%20cloak-willow.jpg
Acronicta retardata,Bantam Maple Dagger,imageRender.aspx?filename=retarded%20daggermoth-bottlebrush%20buckeye.jpg
Haploa clymene,Clymene Moth,imageRender.aspx?filename=Clymene haploa.jpg
Limenitis arthemis,"Banded Purple, Red-spotted Admiral",imageRender.aspx?filename=red spotted purple-black cherry.jpg
Acronicta interrupta,Interrupted Dagger Moth,imageRender.aspx?filename=interrupted dagger moth-elm.jpg
Eosphoropteryx thyatyroides,Pink-Patched Looper Moth,imageRender.aspx?filename=pink patch looper-meadow rue.jpg
Danaus plexippus,Monarch,imageRender.aspx?filename=monarch.jpg
Automeris io,Io moth,imageRender.aspx?filename=Io moth-birch.jpg
Antheraea polyphemus,Polyphemus moth,imageRender.aspx?filename=Polyphemus moth-birch.jpg
Papilio troilus,Spicebush Swallowtail,imageRender.aspx?filename=Spice bush swallowtail-spicebush.jpg
Citheronia regalis,"Royal Walnut Moth, Hickory Horned Devil",imageRender.aspx?filename=Hickory horned devil-hickory.jpg
Papilio glaucus,Eastern Tiger Swallowtail,imageRender.aspx?filename=tiger swallowtail-tulip poplar.jpg
Orgyia leucostigma,Whitemarked Tussock Moth,imageRender.aspx?filename=white marked tussock moth-willow.jpg
Synchlora aerata,"Wavy-Lined Emerald, Camoflaged Looper",imageRender.aspx?filename=Camouflaged looper-asters.jpg
Leuconycta diphteroides,Green Leuconycta,imageRender.aspx?filename=green leuconycta-aster.jpg
Schizura concinna,"Red-Humped Caterpillar, Red-Humped Appleworm",imageRender.aspx?filename=red humped caterpillar-crabapple.jpg
Hypercompe scribonia,"Great Leopard Moth, Giant Leopard Moth",imageRender.aspx?filename=giant leopard moth-sunflower.jpg
Sphinx kalmiae,Laurel Sphinx,imageRender.aspx?filename=Fawn sphinx-ash.jpg
Callosamia promethea,Promethea silkmoth,imageRender.aspx?filename=promethea moth.jpg
Hemaris diffinis,Snowberry Clearwing,imageRender.aspx?filename=snowberry clearwing-coral honeysuckle.jpg
Sphinx gordius,Apple Sphinx,imageRender.aspx?filename=apple sphinx-blueberry.jpg
Actias luna,Luna moth,imageRender.aspx?filename=Luna moth.jpg
Hyles lineata,White-lined Sphinx,imageRender.aspx?filename=white-lined sphinx-evening primrose.jpg
Schinia florida,"Primrose Flower Moth, Evening Primrose Flower Moth",imageRender.aspx?filename=primrose moth-evening primrose.jpg
Dichorda iridaria,Showy Emerald,imageRender.aspx?filename=Showy emerald-sumac.jpg
Lophocampa caryae,"Hickory Tussock Moth, Hickory Tiger Moth",imageRender.aspx?filename=Hickory tussock moth-hickory.jpg
Hyalophora cecropia,Cecropia silkmoth,imageRender.aspx?filename=cecropia moth-willow.jpg
Cucullia asteroides,"The Astroid, Asteroid Paint, Goldenrod Hooded Owlet",imageRender.aspx?filename=Cuculio asteroides-aster.jpg
Cucullia convexipennis,"Brown-Hooded Owlet, Calico Paint",imageRender.aspx?filename=brown-hooded owlet-goldenrod.jpg
Xanthotype sospeta,Crocus Geometer,imageRender.aspx?filename=crocus geometer-elm.jpg
Scopula limboundata,Large Lace-Border,imageRender.aspx?filename=large lace border-blueberry.jpg
Isochaetes beutenmuelleri,Spun Glass Slug,imageRender.aspx?filename=spun%20glass%20caterpillar-oak.jpg
Furcula borealis,White Furcula,imageRender.aspx?filename=white-furcula-prunus.jpg
Dryocampa rubicunda,Rosy Maple Moth,imageRender.aspx?filename=green%20striped%20mapleworm-maple.jpg
Limenitis archippus,Chokecherry,imageRender.aspx?filename=Viceroy-willow.jpg
Ceratomia amyntor,Elm Sphinx,imageRender.aspx?filename=elm%20sphinx-elm.jpg
Orgyia definita,Definite Tussock Moth,imageRender.aspx?filename=definite%20tussock%20moth-birch.jpg
Lochmaeus manteo,Variable Oakleaf Caterpillar Moth,imageRender.aspx?filename=variable%20oakleaf%20caterpillar-oak.jpg
Campaea perlata,Pale Beauty,imageRender.aspx?filename=pale%20beauty-alder.jpg
Adoneta spinuloides,Purple-Crested Slug,imageRender.aspx?filename=purple-crested%20slug-basswood.jpg
Acronicta funeralis,Funerary Dagger Moth,imageRender.aspx?filename=paddle%20caterpillar-black%20cherry.jpg
Amorpha juglandis,Walnut Sphinx,imageRender.aspx?filename=walnut%20sphinx-black%20walnut.jpg
Eucosma parmatana,Aster Flowerhead Caterpillar,DR2937-LARGE.jpg
Eucosma tomonana,Aster-head Phaneta,PZKLGZSL9ZGHJH2HAHXHAH6HJHPHVH5HOHKL4ZGHAHZL4Z8HCHXH8ZXH8ZML1Z8LYHNHWZUHAZ4LAZWHRRGLLR8H8Z.jpg
Cochylis hoffmanana,Hoffman's Cochlid Moth,p5280083-800_1.jpg
Tornos scolopacinarius,Dimorphic Gray,tornos_scolopacinaria_-_dimorphic_gray_cat_090814a.jpg
Hellinsia glenni,X,IRYZ0RFZGR9LQZALXZOL0Z6LZZNLZZYZYLVL7ZVL7ZZHIZBLFLOZYLDZ3LPL3L3ZLZ3ZZZYZIRQHGRVLGRDL6RSHXZBL.jpg
Epiblema scudderiana,Goldenrod Gall Moth,scudders-epiblema17988m2.jpg
Cucillia speyeri,"Speyer's Cucullia, Speyer's Paint",Cucullia_speyeri_larva.jpg
Clepsis clemensiana,Clemens' Clepsis Moth,ELG3684-360.jpg
Agnorisma badinodis,Pale-Banded Dart,JMc10955-LARGE.jpg
Chlorochlamys chloroleucaria,Blackberry Looper Moth,KeCh7071_225.jpg
Paonias myops,Small-eyed Sphinx,imageRender.aspx?filename=small-eyed sphinx-cherry.jpg
Callosamia angulifera,Tuliptree silkmoth,imageRender.aspx?filename=tulip tree silk moth.jpg
Hemaris thysbe,Hummingbird Clearwing,imageRender.aspx?filename=hummingbird clearwing-Viburnum.jpg
Harkenclenus titus,Coral Hairstreak,imageRender.aspx?filename=coral hairstreak-black cherry.jpg
Cercyonis pegala,Common Wood Nymph,FL2LZZPLMZOZ6RQHPRJZKR3ZSRPLYLVLKZOLLZNLFLPLRZNLYLDZ3LOZYL1LSZHH7ZALFLBLXZAL4R1LMZWLFL3ZSR.jpg
Meropleon ambifusca,"Newman's Borer, Newman's Brocade",MD9428.jpg
Hesperia metea,Cobweb Skipper,Hesperia-metea-5238.jpg
Polites origenes,Crossline Skipper,polites_origenes71308c.jpg?itok=8VxmhllI
Amblyscirtes vialis,Common Roadside-Skipper,Amblyscirtes-vialis-AWT-1_0.jpg
Atrytonopsis hianna,Dusted Skipper,Atrytonopsis_hiannaTNPolk10May2008StephenWJohnson.jpg?itok=s_nFrt5B
Nastra lherminier,Swarthy Skipper,nastra_lherminier81007c.jpg?itok=bqboF9Ym
Anatrytone logan,"Delaware Skipper, Logan Skipper",P1160294x.jpg
Mocis texana,Texas Mocis,MQ8745-300-JA.jpg
Lacinipolia meditata,The Thinker,10368-lacinipolia_meditata-thinker-b-img_0921_0.jpg
Agrotis gladiaria,"Swordsman Dart, Clay-Backed Cut-Worm, Ipsilon Dart",JDom10648-300.jpg
Lerema accius,"Clouded Skipper, Corn Leaf tier",clouded_skipper003_1.jpg
Dargida diffusa,Wheat Head Armywotm Moth,4741945001_743823e783_b.jpg
Spodoptera frugiperda,Fall Armyworm Moth,Spodoptera_frugiperda.jpg
Argyrogramma verruca,Golden Looper,800px-Argyrogramma_verruca_P1310021b.jpg
Chrysodeixis includens,Soybean Looper Moth,1920px-Pseudoplusia_includens.jpg
Spodoptera dolichos,"Sweetpotato Armyworm, Dolichos Armyworm, Large Cotton Armyworm",Spodoptera_dolichos.jpg
