Scientific Name,Common Name,Image
Pyrrharctia isabella,"Isabella Tiger Moth, Banded Woolybear",lep_images/imageRender.aspx-filename=woolybear-wild lettuce.jpg
Calledapteryx dryopterata,Brown Scoopwing,lep_images/imageRender.aspx-filename=brown scoopwing-nannyberry.jpg
Nymphalis antiopa,Mourning Cloak,lep_images/imageRender.aspx-filename=Morning cloak-willow.jpg
Acronicta retardata,Bantam Maple Dagger,lep_images/imageRender.aspx-filename=retarded daggermoth-bottlebrush buckeye.jpg
Haploa clymene,Clymene Moth,lep_images/imageRender.aspx-filename=Clymene haploa.jpg
Limenitis arthemis,"Banded Purple, Red-spotted Admiral",lep_images/imageRender.aspx-filename=red spotted purple-black cherry.jpg
Acronicta interrupta,Interrupted Dagger Moth,lep_images/imageRender.aspx-filename=interrupted dagger moth-elm.jpg
Eosphoropteryx thyatyroides,Pink-Patched Looper Moth,lep_images/imageRender.aspx-filename=pink patch looper-meadow rue.jpg
Danaus plexippus,Monarch,lep_images/imageRender.aspx-filename=monarch.jpg
Automeris io,Io moth,lep_images/imageRender.aspx-filename=Io moth-birch.jpg
Antheraea polyphemus,Polyphemus moth,lep_images/imageRender.aspx-filename=Polyphemus moth-birch.jpg
Papilio troilus,Spicebush Swallowtail,lep_images/imageRender.aspx-filename=Spice bush swallowtail-spicebush.jpg
Citheronia regalis,"Royal Walnut Moth, Hickory Horned Devil",lep_images/imageRender.aspx-filename=Hickory horned devil-hickory.jpg
Papilio glaucus,Eastern Tiger Swallowtail,lep_images/imageRender.aspx-filename=tiger swallowtail-tulip poplar.jpg
Orgyia leucostigma,Whitemarked Tussock Moth,lep_images/imageRender.aspx-filename=white marked tussock moth-willow.jpg
Synchlora aerata,"Wavy-Lined Emerald, Camoflaged Looper",lep_images/imageRender.aspx-filename=Camouflaged looper-asters.jpg
Leuconycta diphteroides,Green Leuconycta,lep_images/imageRender.aspx-filename=green leuconycta-aster.jpg
Schizura concinna,"Red-Humped Caterpillar, Red-Humped Appleworm",lep_images/imageRender.aspx-filename=red humped caterpillar-crabapple.jpg
Hypercompe scribonia,"Great Leopard Moth, Giant Leopard Moth",lep_images/imageRender.aspx-filename=giant leopard moth-sunflower.jpg
Sphinx kalmiae,Laurel Sphinx,lep_images/imageRender.aspx-filename=Fawn sphinx-ash.jpg
Callosamia promethea,Promethea silkmoth,lep_images/imageRender.aspx-filename=promethea moth.jpg
Hemaris diffinis,Snowberry Clearwing,lep_images/imageRender.aspx-filename=snowberry clearwing-coral honeysuckle.jpg
Sphinx gordius,Apple Sphinx,lep_images/imageRender.aspx-filename=apple sphinx-blueberry.jpg
Actias luna,Luna moth,lep_images/imageRender.aspx-filename=Luna moth.jpg
Hyles lineata,White-lined Sphinx,lep_images/imageRender.aspx-filename=white-lined sphinx-evening primrose.jpg
Schinia florida,"Primrose Flower Moth, Evening Primrose Flower Moth",lep_images/imageRender.aspx-filename=primrose moth-evening primrose.jpg
Dichorda iridaria,Showy Emerald,lep_images/imageRender.aspx-filename=Showy emerald-sumac.jpg
Lophocampa caryae,"Hickory Tussock Moth, Hickory Tiger Moth",lep_images/imageRender.aspx-filename=Hickory tussock moth-hickory.jpg
Hyalophora cecropia,Cecropia silkmoth,lep_images/imageRender.aspx-filename=cecropia moth-willow.jpg
Cucullia asteroides,"The Astroid, Asteroid Paint, Goldenrod Hooded Owlet",lep_images/imageRender.aspx-filename=Cuculio asteroides-aster.jpg
Cucullia convexipennis,"Brown-Hooded Owlet, Calico Paint",lep_images/imageRender.aspx-filename=brown-hooded owlet-goldenrod.jpg
Xanthotype sospeta,Crocus Geometer,lep_images/imageRender.aspx-filename=crocus geometer-elm.jpg
Scopula limboundata,Large Lace-Border,lep_images/imageRender.aspx-filename=large lace border-blueberry.jpg
Isochaetes beutenmuelleri,Spun Glass Slug,lep_images/imageRender.aspx-filename=spun glass caterpillar-oak.jpg
Furcula borealis,White Furcula,lep_images/imageRender.aspx-filename=white-furcula-prunus.jpg
Dryocampa rubicunda,Rosy Maple Moth,lep_images/imageRender.aspx-filename=green striped mapleworm-maple.jpg
Limenitis archippus,Chokecherry,lep_images/imageRender.aspx-filename=Viceroy-willow.jpg
Ceratomia amyntor,Elm Sphinx,lep_images/imageRender.aspx-filename=elm sphinx-elm.jpg
Orgyia definita,Definite Tussock Moth,lep_images/imageRender.aspx-filename=definite tussock moth-birch.jpg
Lochmaeus manteo,Variable Oakleaf Caterpillar Moth,lep_images/imageRender.aspx-filename=variable oakleaf caterpillar-oak.jpg
Campaea perlata,Pale Beauty,lep_images/imageRender.aspx-filename=pale beauty-alder.jpg
Adoneta spinuloides,Purple-Crested Slug,lep_images/imageRender.aspx-filename=purple-crested slug-basswood.jpg
Acronicta funeralis,Funerary Dagger Moth,lep_images/imageRender.aspx-filename=paddle caterpillar-black cherry.jpg
Amorpha juglandis,Walnut Sphinx,lep_images/imageRender.aspx-filename=walnut sphinx-black walnut.jpg
Eucosma parmatana,Aster Flowerhead Caterpillar,lep_images/DR2937-LARGE.jpg
Eucosma tomonana,Aster-head Phaneta,lep_images/PZKLGZSL9ZGHJH2HAHXHAH6HJHPHVH5HOHKL4ZGHAHZL4Z8HCHXH8ZXH8ZML1Z8LYHNHWZUHAZ4LAZWHRRGLLR8H8Z.jpg
Cochylis hoffmanana,Hoffman's Cochlid Moth,lep_images/p5280083-800_1.jpg
Tornos scolopacinarius,Dimorphic Gray,lep_images/tornos_scolopacinaria_-_dimorphic_gray_cat_090814a.jpg
Hellinsia glenni,X,lep_images/IRYZ0RFZGR9LQZALXZOL0Z6LZZNLZZYZYLVL7ZVL7ZZHIZBLFLOZYLDZ3LPL3L3ZLZ3ZZZYZIRQHGRVLGRDL6RSHXZBL.jpg
Epiblema scudderiana,Goldenrod Gall Moth,lep_images/scudders-epiblema17988m2.jpg
Cucillia speyeri,"Speyer's Cucullia, Speyer's Paint",lep_images/Cucullia_speyeri_larva.jpg
Clepsis clemensiana,Clemens' Clepsis Moth,lep_images/ELG3684-360.jpg
Agnorisma badinodis,Pale-Banded Dart,lep_images/JMc10955-LARGE.jpg
Chlorochlamys chloroleucaria,Blackberry Looper Moth,lep_images/KeCh7071_225.jpg
Paonias myops,Small-eyed Sphinx,lep_images/imageRender.aspx-filename=small-eyed sphinx-cherry.jpg
Callosamia angulifera,Tuliptree silkmoth,lep_images/imageRender.aspx-filename=tulip tree silk moth.jpg
Hemaris thysbe,Hummingbird Clearwing,lep_images/imageRender.aspx-filename=hummingbird clearwing-Viburnum.jpg
Harkenclenus titus,Coral Hairstreak,lep_images/imageRender.aspx-filename=coral hairstreak-black cherry.jpg
Cercyonis pegala,Common Wood Nymph,lep_images/FL2LZZPLMZOZ6RQHPRJZKR3ZSRPLYLVLKZOLLZNLFLPLRZNLYLDZ3LOZYL1LSZHH7ZALFLBLXZAL4R1LMZWLFL3ZSR.jpg
Meropleon ambifusca,"Newman's Borer, Newman's Brocade",lep_images/MD9428.jpg
Hesperia metea,Cobweb Skipper,lep_images/Hesperia-metea-5238.jpg
Polites origenes,Crossline Skipper,lep_images/polites_origenes71308c.jpg-itok=8VxmhllI
Amblyscirtes vialis,Common Roadside-Skipper,lep_images/Amblyscirtes-vialis-AWT-1_0.jpg
Atrytonopsis hianna,Dusted Skipper,lep_images/Atrytonopsis_hiannaTNPolk10May2008StephenWJohnson.jpg-itok=s_nFrt5B
Nastra lherminier,Swarthy Skipper,lep_images/nastra_lherminier81007c.jpg-itok=bqboF9Ym
Anatrytone logan,"Delaware Skipper, Logan Skipper",lep_images/P1160294x.jpg
Mocis texana,Texas Mocis,lep_images/MQ8745-300-JA.jpg
Lacinipolia meditata,The Thinker,lep_images/10368-lacinipolia_meditata-thinker-b-img_0921_0.jpg
Agrotis gladiaria,"Swordsman Dart, Clay-Backed Cut-Worm, Ipsilon Dart",lep_images/JDom10648-300.jpg
Lerema accius,"Clouded Skipper, Corn Leaf tier",lep_images/clouded_skipper003_1.jpg
Dargida diffusa,Wheat Head Armywotm Moth,lep_images/4741945001_743823e783_b.jpg
Spodoptera frugiperda,Fall Armyworm Moth,lep_images/Spodoptera_frugiperda.jpg
Argyrogramma verruca,Golden Looper,lep_images/800px-Argyrogramma_verruca_P1310021b.jpg
Chrysodeixis includens,Soybean Looper Moth,lep_images/1920px-Pseudoplusia_includens.jpg
Spodoptera dolichos,"Sweetpotato Armyworm, Dolichos Armyworm, Large Cotton Armyworm",lep_images/Spodoptera_dolichos.jpg
Elophila obliteralis,Waterlily Leafcutter Moth,lep_images/_Elophila_obliteralis.jpg
Clepsis melaleucana,"Black-patched Clepsis Moth, Trillium Tortrix",lep_images/Clepsis_melaleucana_1.jpg
Euplexia benesimilis,American Angle Shades,lep_images/Euplexia_benesimilis.jpg
Besma quercivoraria,Oak Besma,lep_images/640px-Besma_quercivoraria_03.jpg
Hesperia leonardus,Leonard's Skipper,lep_images/640px-Hesperia_leonardus_leonardus.JPG
Hadena ectypa,Campion Coronet,lep_images/JV10316-300-26.jpg
Hadena capsularis,Capsule Moth,lep_images/CVDB10317-225-4.jpg
Lacinipolia renigera,"Bristly Ground Cat, Bristly Cutworm Moth, Kidney Spotted ""Mamestra""",lep_images/Bristly_Cutworm_Moth_0769.9.18.07.w.wiki.jpg
Sparganothis unifasciana ,One-lined Sparganothis,lep_images/CaWo3711-LARGE.jpg
Melanchra adjuncta,Hitched Arches,lep_images/Hitched_Arches_caterpillar.jpg
Hesperia sassacus,the Indian skipper,lep_images/330px-Indian_Skipper_(Hesperia_sassacus)_on_Hieracium_canadense-_Mer_Bleue.jpg
Euptoieta claudia,variegated fritillary,lep_images/330px-Variegated_Fritillary-_Megan_McCarty83.jpg
Junonia coenia,Common Buckeye,lep_images/330px-Butterfly_in_Jamaica_Bay_Wildlife_Refuge_(41100).jpg
Callophrys augustinus,The Brown Elfin,lep_images/330px-Callophrys_augustinus_2.jpg
Archips purpurana,Omnivorous Leafroller Moth,lep_images/330px-Archips_purpurana.jpg
Spodoptera ornithogalli,Yellowstriped Armyworm Moth,lep_images/330px-Spodoptera_ornithogalli.jpg
Nematocampa resistaria,filament bearer,lep_images/330px-Nematocampa_resistaria.jpg
Campaea perlata,Pale Beauty,lep_images/imageRender.aspx-filename=pale beauty-alder.jpg
Agriopodes fallax,The Green Marvel,lep_images/Acronicta_fallax_male.jpg
Paonias excaecatus,Blinded Sphinx,lep_images/imageRender.aspx-filename=blinded sphinx moth-black cherry.jpg
Eacles imperialis,Imperial Moth,lep_images/imageRender.aspx-filename=Imperial moth-pine.jpg
Schizura badia,Chestnut Schizura,lep_images/8Q102QA0BQ2K5KTK5KOK8KAK5KNKQK10WQTK1QY0BQHSUQLSMKCKVQ1KUQJ08KY07KY0GK30GKCKVQO05Q6KHKT00K.jpg
Archips purpurana,Omnivorous Leafroller Moth,lep_images/800px-Archips_purpurana.jpg
Eubaphe mendica,The Beggar,lep_images/imageRender.aspx-filename=the beggar-maple.jpg
Alypia octomaculata,Eight-Spot Forester,lep_images/imageRender.aspx-filename=8-spotted forester moth.jpg
