Scientific Name,Common Name,Plant Type,URL,Soil PH,Sun/Shade Conditions,Image,Summary,Soil Moisture
Croton alabamensis,Alabama Croton,shrub ,https://mtcubacenter.org/plants/alabama-croton/,"adaptable, alkaline ","filtered-shade, full-sun, partial-shade ",https://mtcubacenter.org/wp-content/uploads/2016/06/Croton_alabamensis_1.jpg,"This rare, semi-evergreen southern shrub is worthy of wider use in gardens. Alabama croton is an irregular, multi-stemmed shrub that grows to 5? tall. Its bright green foliage with striking, silvery scales beneath is attractive in summer as well as in autumn when it develops pumpkin-orange foliage color. Croton alabamensis performs well in full sun to partial shade in well-drained to very dry soils. It is tolerant of slightly acidic to very alkaline soils. Alabama croton is a good companion when planted with Comptonia peregrina, Rhus aromatica, Clematis viorna, Coreopsis auriculata, Phlox divaricata, Schizachyrium scoparium, Amsonia ciliata var. tenuifolia, Coreopsis grandiflora, and Liatris microcephala.","average, dry "
Pachysandra procumbens,Allegheny Pachysandra,perennial ,https://mtcubacenter.org/plants/allegheny-pachysandra/,adaptable ,"filtered-shade, partial-shade, shade ",https://mtcubacenter.org/wp-content/uploads/2016/06/Pachysandra_procumbens_1.jpg,"Pachysandra procumbens is an attractive native groundcover with its mottled, evergreen foliage and fragrant white bottlebrush-shaped flowers in early to mid-spring. It spreads slowly to form a dense carpet 8-10” tall. Allegheny pachysandra performs well in a variety of soils from moist to dry and a range of soil pH as long as it is growing in partial to full shade. This woodland plant is also considered by many to be very deer and drought resistant. Pachysandra procumbens is a versatile plant that makes a lovely companion for many plants including Hydrangea quercifolia, Leucothoe fontanesiana, Rhododendron vaseyi, Phlox divaricata, and Polemonium reptans.","average, dry, moist "
Amelanchier laevis,Allegheny Serviceberry,tree ,https://mtcubacenter.org/plants/allegheny-serviceberry/,"acidic, adaptable ","filtered-shade, full-sun, partial-shade ",https://mtcubacenter.org/wp-content/uploads/2016/06/Amelanchier_laevis_1.jpg,"There is no doubt spring has arrived when Allegheny serviceberry bursts into flower. Its cloud-like clusters of delicate white flowers, followed by delicious blue-black summer fruit, are treats for humans and wildlife alike. Amelanchier laevis grows well in partial shade to sun in slightly acidic, well drained soils where it can reach 20-40’ tall. Its multi-stemmed habit and silver gray bark make Allegheny serviceberry an excellent companion on the woodland edge or places that receive afternoon shade. In the garden, it is a fine companion for Kalmia latifolia, Hamamelis virginiana, Nyssa sylvatica, Viburnum dentatum, Chionanthus virginicus, Calycanthus floridus, and Cornus florida.","average, dry, moist "
Callicarpa americana,American Beautyberry,shrub ,https://mtcubacenter.org/plants/american-beautyberry/,"acidic, adaptable ","filtered-shade, full-sun ",https://mtcubacenter.org/wp-content/uploads/2016/06/Callicarpa_americana_1.jpg,"American beautyberry is an eye catching, 4-8’ tall multi-stemmed shrub, particularly for the autumn garden. Pale green foliage emerges in spring, followed by lavender-pink flowers in June. By autumn, the flowers mature into masses of violet to magenta berry-like fruit clusters. They encircle the stems and are produced in abundance, contrasting nicely with chartreuse autumn foliage. Full sun and dry, acidic soils foster the best fruiting; however American beautyberry will tolerate filtered shade. This plant is best used in mass plantings with companions that include Hydrangea quercifolia, Symphyotrichum oblongifolium ‘Raydon’s Favorite’, Rhododendron maximum, Aronia arbutifolia, Pinus virginiana, and Cornus florida.","average, dry "
Actaea podocarpa,American Bugbane,perennial ,https://mtcubacenter.org/plants/american-bugbane/,"acidic, adaptable ","filtered-shade, partial-shade ",https://mtcubacenter.org/wp-content/uploads/2016/06/Actaea_podocarpa_1-960x700.jpg,"American bugbane is an excellent addition to the late summer and early autumn woodland garden, producing 5-6’ tall flowering stems topped by vertical clusters of tiny fragrant, white flowers. This herbaceous perennial produces large, medium green, finely-divided foliage that provides height in garden after spring wildflowers disappear, and thus remains effective throughout the growing season. American bugbane thrives in rich, moist, acidic soils in filtered to partial shade. American bugbane combines well in the garden with Actaea racemosa, Eurybia divaricata, Gentiana catesbei, Symphyotrichum cordifolium, Leucothoe fontanesiana, and Collinsonia canadensis.","average, moist "
Cunila origanoides,American Dittany,perennial ,https://mtcubacenter.org/plants/american-dittany/,adaptable ,"filtered-shade, full-sun ",https://mtcubacenter.org/wp-content/uploads/2016/06/Cunila_origanioides_1.jpg,"American dittany is a little known and underused herbaceous perennial with pleasantly aromatic foliage evocative of oregano. The wiry stems produce tiny lavender flowers in terminal clusters and the axils of the leaves from mid-summer to fall. Used historically in folk medicine as a remedy for ailments, the leaves also have culinary uses. This rugged perennial grows 8-16” tall and prefers dry, sandy, well-drained soils in filtered shade. American dittany can be used in the herb garden, border edge or rock garden. It combines nicely in the garden with Ionactis linariifolius, Chrysogonum virginianum, Silene caroliniana, Gaylussacia brachycera, and Salvia lyrata ‘Burgundy Bliss’.","average, dry "
Phemeranthus teretifolius,Appalachian Rock-Pink,perennial ,https://mtcubacenter.org/plants/appalachian-rock-pink/,adaptable ,"filtered-shade, full-sun ",https://mtcubacenter.org/wp-content/uploads/2016/06/Phemeranthus_teretifolium_1.jpg,"This drought-loving perennial is related to the popular and brightly colored summer annual portulaca. The 3-8” tall plants produce fleshy, succulent leaves; the leaves are designed for water storage. Blooming from early summer until autumn, the vibrant, ½” rose-purple flowers are displayed on 1? tall wiry stems in a loose cluster and when planted en masse create an ethereal cloud of pink. The uniqueness of Appalachian rock-pink makes this plant most suited for the environs of the rock garden where it is an excellent companion for Liatris microcephala, Viola pedata, Bigelowia nuttallii, Silene caroliniana, and Phlox subulata.","average, dry "
Viburnum dentatum,Arrowwood,shrub ,https://mtcubacenter.org/plants/arrowwood/,adaptable ,"filtered-shade, full-sun, partial-shade ",https://mtcubacenter.org/wp-content/uploads/2016/06/Viburnum_dentatum_3.jpg,"An underused shrub, Viburnum dentatum assimilates well into a naturalistic border or woodland edge while providing two seasons of interest. Flowering in late spring through early summer with delicate white blooms, arrowwood yields a bounty of porcelain-blue fruit in fall. Averaging 9’ in height, the natural arching stems lend an architecturally graceful appearance to the woodland garden. Preferring to grow in full sun, moist, average soils, arrowwood will also tolerate light shade along a woodland edge, and dry, nutrient lacking and variable pH soils. This species is excellent for a wildlife habitat garden or screen when combined with Ilex opaca, Pinus strobus, Hydrangea quercifolia, Lobelia cardinalis, Hydrangea radiata and Symphyotrichum cordifolium.","average, dry, moist "
Zephyranthes atamasca,Atamasco lily,bulbcorm ,https://mtcubacenter.org/plants/atamasco-lily/,adaptable ,"filtered-shade, full-sun ",https://mtcubacenter.org/wp-content/uploads/2016/06/Zephyranthes_atamasca_1.jpg,"The large upward-facing, lily-like flowers of Atamasco lily provide a stunning display in the spring garden. Standing 12-18” tall on top of leafless stems, the solitary white, sometimes blush-pink flowers of this bulb are a dramatic attention-getter. Zephyranthes atamasca thrives in moist, well-drained neutral to slightly acidic soils in filtered shade and makes an excellent accent where it can be appreciated. After flowering, Atamasco lily quickly goes dormant, so be sure to integrate it with companions such as Thalictrum thalictroides, Tiarella cordifolia, Polystichum acrostichoides, Trautvetteria caroliniensis, Athyrium filix-femina, Trillium spp., Osmundastrum cinnamomeum, Phlox divaricata, and Symphyotrichum spp.","average, moist "
Heuchera villosa var. villosa ‘Autumn Bride’,Autumn Bride Hairy Alumroot,perennial ,https://mtcubacenter.org/plants/autumn-bride-hairy-alumroot/,adaptable ,"filtered-shade, full-sun, partial-shade ",,"Versatility is the hallmark of this beautiful alumroot. Rounded, light green leaves with a velvety texture make a bold statement in the garden. Creamy, white flower spikes up to 2’ tall emerge from late summer to frost and are perfect for cutting. Mounded, semi-evergreen plants can reach 15? tall and function well as a groundcover. Though happiest in shade and evenly moist soils, Autumn Bride hairy alumroot will tolerate some sun and is quite drought tolerant. It also maintains excellent foliage quality throughout the growing season. For late season interest, integrate it with Chelone glabra, Ageratina altissima ‘Chocolate’, Eurybia divaricata, Chrysogonum virginianum, and Carex flaccosperma.","average, dry, moist "
