Scientific Name,Common Name,Plant Type,URL,Spread,Soil Type,Sun/Shade Conditions,Image,Summary,Soil Moisture,Lep Count,Supported Leps
Acer pensylvanicum,Pennsylvania Striped Maple,tree ,https://mtcubacenter.org/plants/pennsylvania-striped-maple/,50,"Chalk, Clay, Loam, Sand","filtered-shade, partial-shade, shade ",https://mtcubacenter.org/wp-content/uploads/2016/06/Acer_pensylvancum_2-960x683.jpg,"Maturing to a height of 15-25� with an irregular vase-shaped habit, this slow growing, coarsely branched maple is an understory tree ideal for use in the naturalized landscape. Shady, slightly acidic, and well-drained conditions are optimal for Pennsylvania striped maple. As branches mature, its green bark is highlighted by thin white lines providing year round interest. In autumn the leaves of Acer pensylvanicum can turn bright yellow, contrasting nicely with the green stems. Some of the shade-loving companions that grow well with Pennsylvania striped maple include Polygonatum biflorum, Eurybia divaricata, Trillium cuneatum, Phlox divaricata, and Asarum canadense.","average, moist ",256,"Nymphalis antiopa, Acronicta retardata, Pyrrharctia isabella, Automeris io, Papilio glaucus, Schizura concinna, Callosamia promethea, Actias luna, Lophocampa caryae, Hyalophora cecropia, Xanthotype sospeta"
Acer rubrum,Red Maple,tree ,https://mtcubacenter.org/plants/red-maple/,50,"Chalk, Clay, Loam, Sand","filtered-shade, full-sun, partial-shade ",https://mtcubacenter.org/wp-content/uploads/2016/06/Acer_rubrum_1.jpg,"Red maple is a handsome and adaptable deciduous shade tree. Known for its vivid red fall color, red maple also has distinctive red buds and flowers that are a herald of spring. Acer rubrum, with its smooth gray bark, has an upright oval shape when young, becoming open and spreading with age. It will grow 40-80� tall and is fast growing in youth. While red maple prefers acidic, wet to moist soils, it is adapted to most garden conditions. Fall color varies from brilliant red to clear yellow. It can be a challenge to grow plants beneath the dense root system of red maple. Even so, several plants make good companions, including Claytonia virginica, Enemion biternatum, Dennstaedtia punctilobula, Viburnum acerifolium, Leucothoe fontanesiana, and Polystichum acrostichoides.","average, dry, moist, wet ",256,"Nymphalis antiopa, Acronicta retardata, Pyrrharctia isabella, Automeris io, Papilio glaucus, Schizura concinna, Callosamia promethea, Actias luna, Lophocampa caryae, Hyalophora cecropia, Xanthotype sospeta"
Actaea pachypoda,White Baneberry,perennial ,https://mtcubacenter.org/plants/white-baneberry/,3,"Clay, Loam","filtered-shade, partial-shade ",https://mtcubacenter.org/wp-content/uploads/2016/06/Actaea_pachypoda_4-960x683.jpg,"White baneberry provides a long season of interest with its white bottlebrush-shaped inflorescences, deeply cut compound leaves, and its clusters of white berries with brightly colored magenta pedicels in summer. White baneberry thrives in slightly acidic, moist, highly organic soil in filtered to part shade but it tolerates drier soils. Throughout the summer, this unusual native woodland plant adds interesting texture and character to the garden, particularly in shady spots. Actaea pachypoda is an excellent complement to Actaea racemosa, Phegopteris hexagonoptera, Trillium erectum, Thalictrum thalictroides, Lilium canadense, Caulophyllum thalictroides, and Carex plantaginea.","average, moist ",3,
Actaea pachypoda �Misty Blue�,Misty Blue White Baneberry,perennial ,https://mtcubacenter.org/plants/misty-blue-white-baneberry/,3,"Clay, Loam","filtered-shade, partial-shade ",https://mtcubacenter.org/wp-content/uploads/2016/06/Actaea_pachypoda_Misty_Blue_2-1.jpg,"A Mt. Cuba Center Plant Introduction. Misty Blue white baneberry provides a long season of interest with its white bottlebrush-shaped inflorescences, deeply cut compound leaves, and its clusters of white berries with brightly colored magenta pedicels in summer. This cultivar has the added benefit of bluish foliage that holds it color all season long. Misty Blue thrives in slightly acidic, moist, highly organic soil in filtered to part shade but it tolerates drier soils. Throughout the summer, this unusual native woodland plant adds interesting texture and character to the garden, particularly in shady spots. Actaea pachypoda is an excellent complement to Actaea racemosa, Phegopteris hexagonoptera, Trillium erectum, Thalictrum thalictroides, Lilium canadense, Caulophyllum thalictroides, and Carex plantaginea.","average, moist ",3,
Actaea podocarpa,American Bugbane,perennial ,https://mtcubacenter.org/plants/american-bugbane/,3,"Clay, Loam","filtered-shade, partial-shade ",https://mtcubacenter.org/wp-content/uploads/2016/06/Actaea_podocarpa_1-960x700.jpg,"American bugbane is an excellent addition to the late summer and early autumn woodland garden, producing 5-6� tall flowering stems topped by vertical clusters of tiny fragrant, white flowers. This herbaceous perennial produces large, medium green, finely-divided foliage that provides height in garden after spring wildflowers disappear, and thus remains effective throughout the growing season. American bugbane thrives in rich, moist, acidic soils in filtered to partial shade. American bugbane combines well in the garden with Actaea racemosa, Eurybia divaricata, Gentiana catesbei, Symphyotrichum cordifolium, Leucothoe fontanesiana, and Collinsonia canadensis.","average, moist ",3,
Actaea racemosa,Black Bugbane,perennial ,https://mtcubacenter.org/plants/black-bugbane/,4,"Clay, Loam","filtered-shade, partial-shade, shade ",https://mtcubacenter.org/wp-content/uploads/2016/06/Actaea_racemosa_1.jpg,"This robust woodland perennial provides a striking display of white flowers on 5-6� tall spikes as the color of spring wildflowers fades. Its bold, vertical character provides a sharp contrast to the groundcover layer. Black bugbane also produces sharply divided foliage, making it an excellent plant for massing in the naturalistic garden. While it is shade and drought tolerant, black bugbane benefits from evenly moist and slightly acidic soils. It grows happily with a wide range of woodland plants including Caulophyllum thalictroides, Uvularia grandiflora, Polystichum acrostichoides, Lilium superbum, and Actaea pachypoda.","average, moist ",3,
Ageratina altissima var. altissima �Chocolate�,Chocolate White Snakeroot,perennial ,https://mtcubacenter.org/plants/chocolate-white-snakeroot/,4,"Chalk, Clay, Loam","filtered-shade, full-sun ",https://mtcubacenter.org/wp-content/uploads/2016/06/Ageratina_Chocolate.jpg,"A Mt. Cuba Center Plant Introduction. This mid-height perennial is perfect for adding contrast to the garden. �Chocolate� thrives in moist soil and partial shade. The dark purple leaves show their best color in full sun, but adequate moisture is needed to keep the leaves from scorching. Chocolate white snakeroot grows approximately 3? tall and has white, compound inflourescenes that bloom from early September to October. This plant is a prolific self-seeder but unfortunately the seedlings do not have the consistent purple foliage color of the parent. Deadheading may be helpful to prevent unwanted seedlings.","average, moist ",5,Haploa clymene
Allium cernuum,Nodding Onion,bulbcorm ,https://mtcubacenter.org/plants/nodding-onion/,0.416666,"Chalk, Clay, Loam, Sand","filtered-shade, full-sun, partial-shade ",https://mtcubacenter.org/wp-content/uploads/2016/06/Allium_cernuum_1.jpg,"Nodding onion is a beautiful and carefree native bulb for the garden. Clusters of pink flowers are borne in loose heads on 1� tall stems above grass-like leaves. Nodding onion grows well in a perennial border, open woods, or meadow in light shade to full sun. This versatile plant competes well in the garden among other companions such as Eragrostis spectabilis, Schizachyrium scoparium, Stokesia laevis, Symphyotrichum spp., and Solidago spp. In the open woodland garden it combines nicely with Heuchera americana and Thelypteris noveboracensis.","average, dry, moist ",17,
Amelanchier laevis,Allegheny Serviceberry,tree ,https://mtcubacenter.org/plants/allegheny-serviceberry/,25,"Clay, Loam, Sand","filtered-shade, full-sun, partial-shade ",https://mtcubacenter.org/wp-content/uploads/2016/06/Amelanchier_laevis_1.jpg,"There is no doubt spring has arrived when Allegheny serviceberry bursts into flower. Its cloud-like clusters of delicate white flowers, followed by delicious blue-black summer fruit, are treats for humans and wildlife alike. Amelanchier laevis grows well in partial shade to sun in slightly acidic, well drained soils where it can reach 20-40� tall. Its multi-stemmed habit and silver gray bark make Allegheny serviceberry an excellent companion on the woodland edge or places that receive afternoon shade. In the garden, it is a fine companion for Kalmia latifolia, Hamamelis virginiana, Nyssa sylvatica, Viburnum dentatum, Chionanthus virginicus, Calycanthus floridus, and Cornus florida.","average, dry, moist ",91,"Limenitis arthemis, Acronicta interrupta"
Amelanchier obovalis,Coastal Serviceberry,shrub ,https://mtcubacenter.org/plants/coastal-serviceberry/,25,"Clay, Loam, Sand","filtered-shade, full-sun ",https://mtcubacenter.org/wp-content/uploads/2016/06/Amelanchier_obovalis_1.jpg,"Coastal serviceberry offers several attributes including a dwarf, yet open spreading habit, that makes it a good candidate for the smaller scale garden. It grows well in moist to dry, acidic, loamy soils in part shade to full sun and is drought-tolerant once established. The 3-4� multi-stemmed shrub features 2� long finely-toothed, medium green, oval leaves. In late April, the shrub produces 1� white flowers followed, in June, by edible red berries which birds heartily enjoy. Amelanchier obovalis is a distinctive shrub that performs well when massed in the garden with Neviusia alabamensis, Heuchera americana, Tiarella cordifolia, Pachysandra procumbens, Chrysogonum virginianum, and Clematis glaucophylla.","average, dry, moist ",91,"Limenitis arthemis, Acronicta interrupta"
Amelanchier x grandiflora �Autumn Brilliance�,Autumn Brilliance Serviceberry,"shrub, tree ",https://mtcubacenter.org/plants/autumn-brilliance-serviceberry/,25,"Clay, Loam, Sand","filtered-shade, full-sun, partial-shade ",https://mtcubacenter.org/wp-content/uploads/2016/06/Amelanchier_x_grandifolia_Autumn_Brilliance_1.jpg,"While serviceberries are beloved for their attractive spring flowers, Autumn Brilliance serviceberry enhances this reputation with outstanding orange to red autumn foliage. Typically grown as a multi-stemmed shrub or small tree to 20? tall, it develops an upright rounded habit with striking grayish to silver, smooth bark. Autumn Brilliance serviceberry performs best in acidic, well-drained soils in partial shade to sun. As an added bonus, it produces tasty violet to purple-colored fruit in mid-June similar in flavor to blueberries. It makes an excellent companion with Calycanthus floridus, Cornus florida, Kalmia latifolia, Rhododendron vaseyi, Viburnum dentatum, and Coreopsis verticillata.","average, dry, moist ",91,"Limenitis arthemis, Acronicta interrupta"
Andropogon gerardii,Big Bluestem,grasssedge ,https://mtcubacenter.org/plants/big-bluestem/,3,"Chalk, Clay, Loam, Sand",full-sun ,https://mtcubacenter.org/wp-content/uploads/2016/06/Andropogon_gerardii_1-602x700.jpg,"Big bluestem is an iconic grass of American prairies and provides striking architecture in the meadow landscape. This robust, warm-season bunchgrass requires full sun but is quite pH adaptable. Flat, blue-green leaves create striking contrast in the landscape. Purplish, 3-part seed heads develop in the summer and early fall atop big bluestem, eventually reaching 4-8� tall. The leaves remain of interest through the fall with a change to tawny and russet colors. Once established, an expansive fibrous root system makes this grass very drought tolerant. The rich colors of big bluestem are complemented by Schizachyrium scoparium, Rudbeckia hirta, Solidago species, Asclepias tuberosa, Symphyotrichum species, and Vernonia noveboracensis.","average, dry ",14,
Andropogon virginicus,Broom Sedge,grasssedge ,https://mtcubacenter.org/plants/broom-sedge/,3,"Loam, Sand","full-sun, partial-shade ",https://mtcubacenter.org/wp-content/uploads/2016/06/Andropogon_virginicus1.jpg,"Broom sedge is a beautiful warm-season native grass worthy of greater garden use. Its upright stature and warm reddish-tan fall and winter color make for a wonderful contrast in the garden. Warm-season native grasses begin growing well into spring. It reaches 3-5� tall. Broom sedge forms distinctive clumps and is adaptable to many soils. It prefers full sun but is more adaptable to partial shade than many warm-season native grasses. It grows well with other native grasses like Schizachyrium scoparium, Sporobolus heterolepis, and Muhlenberia capillaris, as well as many perennials such as Asclepias tuberosa, Rudbeckia fulgida, Helianthus angustifolius, and Vernonia glauca.","average, dry ",14,
